course_run_id,learner_id
1,6109
1,7347
1,8845
1,2663
1,8743
1,4940
1,1990
1,408
1,6628
1,8182
1,2381
1,7504
1,5246
1,2556
1,70
1,8948
1,8313
1,5427
1,4842
1,7764
1,4748
1,9399
1,2409
1,9260
1,7243
1,5549
1,1840
1,7847
1,656
1,2284
1,9026
1,1914
1,5047
1,406
1,6580
1,3610
1,7306
1,5855
1,1515
1,5347
1,901
1,9963
1,3197
1,9558
1,8625
1,3639
1,4553
1,3206
1,369
1,1369
1,8821
1,7298
1,1431
1,8385
1,6462
1,3185
1,8035
1,5206
1,9882
1,9913
1,8381
1,918
1,5915
1,6513
1,2423
1,7006
1,6056
1,6326
1,6108
1,199
1,4663
1,5651
2,5756
2,5047
2,7300
2,9191
2,1435
2,3533
2,7278
2,6809
2,7249
2,4728
2,2683
2,6944
2,6786
2,2286
2,9620
2,9796
2,1410
2,2353
2,3404
2,4968
2,7776
2,8606
2,5495
2,1083
2,9677
2,6156
2,1449
2,108
2,6708
2,4478
2,6791
2,2865
2,9106
2,7571
2,9304
2,2243
2,3264
2,3047
2,6254
2,4742
2,9074
2,8037
2,691
2,4947
2,9588
2,4979
2,8095
2,9163
2,7593
2,3678
2,439
2,40
2,2523
2,4303
2,4917
2,7742
2,2034
2,4713
2,6834
2,2938
2,8059
2,4009
2,466
2,1955
2,4541
2,8078
2,1093
2,9812
2,5927
2,9520
2,7872
2,9266
2,7144
2,4225
2,7799
2,1959
2,6114
2,8397
2,9425
2,287
2,4252
2,2668
2,9529
2,958
2,2394
2,5237
2,7553
2,2219
2,5855
2,2675
2,866
2,4467
2,5917
2,6873
2,5832
2,798
2,4749
2,4778
2,8677
2,1258
2,8419
2,3175
2,3002
2,1548
2,9810
2,2738
2,8908
2,5285
2,5180
2,4932
2,4447
2,5939
2,1570
2,8755
2,9503
2,5761
2,2354
2,211
2,2243
2,8489
2,4610
2,6111
2,7944
2,6750
2,5575
2,2671
2,1678
2,3569
2,2532
2,8247
2,3622
2,3087
2,9153
2,8612
2,8717
2,9029
2,1867
2,6837
2,7544
2,1251
2,1909
2,2150
2,284
2,7856
2,5705
2,5104
2,5940
2,2277
2,7240
2,9791
2,8570
2,5604
2,2821
2,4991
2,471
2,1943
2,3643
2,2108
2,2332
2,3712
2,5036
3,2053
3,3438
3,2133
3,1287
3,6960
3,1830
3,1273
3,308
3,7934
3,7065
3,696
3,3217
3,1766
3,537
3,8412
3,9718
3,971
3,7685
3,1948
3,4145
3,709
3,1085
3,4942
3,168
3,1581
3,2028
3,9859
3,3365
3,9627
3,3277
3,3027
3,5759
3,479
3,1487
3,2384
3,4544
3,9498
3,5698
3,5770
3,2630
3,8202
3,3962
3,8272
3,9342
3,1119
3,1623
3,9472
3,229
3,8664
3,3555
3,3138
3,4617
3,2814
3,8800
3,70
3,1616
3,3506
3,8260
3,7777
3,6004
3,9656
3,3033
3,7203
3,1758
3,2963
3,5813
3,6219
3,6948
3,3510
3,8425
3,3728
3,6677
3,1848
3,5149
3,2025
3,7633
3,1807
3,8515
3,2226
3,8123
3,5918
3,4723
3,9128
3,665
3,1347
3,5375
3,8088
3,1895
3,6304
3,4646
3,7486
3,9836
3,5111
3,7273
3,3700
3,9075
3,6672
3,4761
3,7011
3,3093
3,1140
3,7793
3,6020
3,2937
3,209
3,8055
3,1723
3,6494
3,7177
3,8563
3,1392
3,1953
3,2348
3,6468
3,6563
3,9675
3,1666
3,2764
3,1060
3,5959
3,3261
3,5548
3,3281
3,9747
3,6623
3,2011
3,3815
3,6958
3,8177
3,4563
3,9534
3,9726
3,4472
3,6557
3,5834
3,7795
3,9882
3,6626
3,7938
3,8379
3,4569
3,2414
3,7448
3,1770
3,2001
3,4107
3,8017
3,8147
3,3781
3,2205
3,486
3,1631
3,865
4,1117
4,8161
4,438
4,2934
4,6269
4,9905
4,5356
4,2502
4,4960
4,1578
4,1253
5,8518
5,8064
5,7635
5,3308
5,4809
5,8157
5,8032
5,8270
5,4287
5,8887
5,5629
5,8856
5,8955
5,289
5,517
5,7051
5,1951
5,6285
5,7374
5,5153
